screen_name,hashtag,tweet_id
LPJofficiel,#meme,687352851224367104
wakasama_meme,#meme,687915637272752128
RomainJeunot,#meme,687915637121925120
YOUNGSKYWLKERS,#meme,687915636241006592
AisheMeite,#meme,687915633183453184
Origamyde,#meme,687915629601525760
wiwy_cynthia,#meme,687915629270138881
Bighow511,#meme,687915628246728704
SebDroin,#meme,687915621808521216
Melll28,#meme,687915616007761920
livingrope,#meme,687915613071773696
SiibelMtl,#meme,687915611553398784
Mzll_Hamilton,#meme,687915593132064768
FoliesdePapou,#meme,687915592930570240
Yodazz,#meme,687915591756300288
_meme_l,#meme,687915586303733760
hanayacco,#meme,687915577088724992
PoliticoVoice,#meme,687915576526811136
IAMGAFFA,#meme,687915575604019201
guydolmaster,#meme,687915575599742976
_lauralouu_,#meme,687915572642869248
SachaMng,#meme,687915572500250624
Im_Ferroudja,#meme,687915568842838016
Melouuush_,#meme,687915567655874560
kendoll_bean,#meme,687915566489702400
ShiShigure,#meme,687915566481453060
Baptistoss,#meme,687915565760032769
Cy_Cyriil,#meme,687915559678308352
LewoLeChat,#meme,687915554942902272
MeMe_Lolaa,#meme,687915554393423872
talliaoyando,#meme,687915552866713600
Thomiaouss,#meme,687915550635343873
Cy_Cyriil,#meme,687915537502965761
speroni_f,#meme,687915536664125440
zlatben,#meme,687915533044301824
Mexicain93,#meme,687915531085692928
GrreeeggggM,#meme,687915529609326592
_meme_l,#meme,687915525020758016
soIoskywalker,#meme,687915521962987521
Shanicebebe,#meme,687915521266835456
So_Ant,#meme,687915519492669440
naimlaflahi,#meme,687915517722640385
TofTwoui,#meme,687915517127045120
niallpxfct,#meme,687915516413886464
Pespoet,#meme,687915515642298368
jg2525_meme,#meme,687915511913435136
camilleduponch,#meme,687915504594481152
AxelleAbrz,#meme,687915502459613184
snczek,#meme,687915501515882496
arretemyriam,#meme,687915500932874240
niallpxfct,#meme,687915500689436672
magikcorentin,#meme,687915498948980736
FreyCarlo,#meme,687915498814713856
JarrierMarion,#meme,687915497615192064
meme_houseeeee,#meme,687915496537079808
FinnaJansen,#meme,687915490740572160
_eeanahs,#meme,687915487930392576
DJBashKenya,#meme,687915484856107008
Snooky_Ar,#meme,687915479562870784
liondeg,#meme,687915475687370752
CmoiDji,#meme,687915469425250304
ManonFtn,#meme,687915461279936513
seblhm,#meme,687915456246726656
YvesDiomand,#meme,687915446322991104
arthcer,#meme,687915441231106048
asma859,#meme,687915439016558593
MarionJql,#meme,687915431210938368
MichelCavargini,#meme,687915426920140800
SkanderHaddar,#meme,687915426337140736
aurel0063,#meme,687915424655228928
Perrine_gb,#meme,687915421295636480
volatyl,#meme,687915412223295488
arrachar4,#meme,687915396662431744
alireailleurs,#meme,687915395907481600
coquelicot_it,#meme,687915393986473984
jil0,#meme,687915386415767553
EloodiieeL,#meme,687915384079515648
